Getting runtime scan results...
Found 1000 runtime scan results

Created At   Result ID           AWS Account          Resource Type Resource Name                  Crit High Medium Low 
----------------------------------------------------------------------------------------------------------------------------------
             18693f36c68ba414... prd-loglass          ECS          prd-loglass-tableau-batch/tableau-batch-parquet 5    44   33     7   
             18694e47a33e7a38... stg-loglass          ECS          stg-loglass-tableau-batch/tableau-batch-parquet 5    44   33     7   
             18691eea6401548b... inhouse-loglass      Lambda       LoglassApiProcessImage_stg     4    35   45     2   
             18691eed138d4654... inhouse-loglass      Lambda       LoglassApiProcessImage_prd     4    35   45     2   
             186925dcf62731aa... dev-abyzz            ECS          dev-dify/dify-sandbox          4    18   17     6   
             186934a18ef5e109... dem-loglass          Lambda       SynthMonitorPlaywrightLogin    2    65   68     5   
             186943d69cd96feb... dev-platform         ECS          dev-platform/loglass-operation-frontend 2    24   28     8   
             1869261e9dc932a0... dev-abyzz            ECS          dev-dify/plugin-daemon         2    8    1673   78  
             18693a8874fdde22... stg-loglass          ECS          gradle-build-cache-node/gradle-build-cache-node 2    8    14     0   
             186948812dd0494d... stg-loglass          ECS          gradle-build-cache-node/gradle-build-cache-node 2    8    14     0   
             186942e7b63c5dfa...                      Host         ip-10-0-2-205.demoglass.internal 1    40   10     1   
             18691457905073b7...                      Host         ip-10-0-2-205.ap-northeast-1.compute.internal 1    40   10     1   
             186944b2cd71f6ab... stg-loglass          Lambda       SynthMonitorPlaywrightLogin    1    37   37     3   
             18692219b6f4ac1c... stg-forecast-mixi    ECS          stg-forecast4m-agent/app       1    24   258    5   
             186948276f0b28bf... stg-loglass          ECS          loglass-api-stg-api-cluster/loglass-bi-api 1    2    268    107 
             186934b9c2c9e2ec... dem-loglass          ECS          loglass-api-dem-api-cluster/loglass-api-extra 1    2    268    107 
             186949a87f283e10... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api-extra 1    2    268    107 
             1869358a317e950b... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api-extra 1    2    268    107 
             1869362f448c392f... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api 1    2    268    107 
             186934a346c59c70... dem-loglass          ECS          loglass-api-dem-api-cluster/loglass-api 1    2    268    107 
             18693a850eb43599... stg-loglass          ECS          demoglass-extra-testc-cluster/loglass-api 1    2    268    107 
             18694962416626ac... stg-loglass          ECS          demoglass-extra-testc-cluster/loglass-api 1    2    268    107 
             18693b19b38107c1... stg-loglass          ECS          loglass-api-stg-api-cluster/loglass-api-extra 1    2    268    107 
             1869358815ae21ff... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api 1    2    268    107 
             18693a8a5365e80c... stg-loglass          ECS          demoglass-extra-testb-cluster/loglass-api 1    2    268    107 
             1869358816ad09b8... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api 1    2    268    107 
             18693581673ae467... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api 1    2    268    107 
             186934b96bee3bfb... dem-loglass          ECS          loglass-api-dem-api-cluster/loglass-api 1    2    268    107 
             186948c5add765bc... stg-loglass          ECS          loglass-api-stg-api-cluster/loglass-api 1    2    268    107 
             1869487488d672e1... stg-loglass          ECS          loglass-api-stg-api-cluster/loglass-api-extra 1    2    268    107 
             18694abfc1df9cb6... stg-loglass          ECS          demoglass-extra-testb-cluster/loglass-api 1    2    268    107 
             18693588896bb9d7... prd-loglass          ECS          loglass-api-prd-api-cluster/loglass-api 1    2    268    107 
             186939ee37f334d9... stg-loglass          ECS          loglass-api-stg-api-cluster/loglass-api 1    2    268    107 
             186939f5b13b9a98... stg-loglass          ECS          demoglass-extra-testb-cluster/loglass-worker 1    1    261    105 
             186934b7a7420bd4... dem-loglass          ECS          loglass-worker-dem-cluster/loglass-worker 1    1    261    105 
             1869359e8df10602... prd-loglass          ECS          loglass-worker-prd-cluster/loglass-worker 1    1    261    105 
             1869359527d407fe... prd-loglass          ECS          loglass-admin-api-prd-api-cluster/loglass-admin-api 1    1    261    105 
             1869499c10d99ccf... stg-loglass          ECS          loglass-worker-stg-cluster/loglass-worker 1    1    261    105 
             18693d5e9c976368... stg-loglass          ECS          loglass-admin-api-stg-api-cluster/loglass-admin-api 1    1    261    105 
             1869359081feeb1d... prd-loglass          ECS          loglass-worker-prd-cluster/loglass-worker 1    1    261    105 
             1869487cb449d7fa... stg-loglass          ECS          demoglass-extra-testc-cluster/loglass-admin-api 1    1    261    105 
             186934a79f72e8d2... dem-loglass          ECS          loglass-worker-dem-cluster/loglass-worker 1    1    261    105 
             186939e14ad36c34... stg-loglass          ECS          demoglass-extra-testb-cluster/loglass-admin-api 1    1    261    105 
             186934b6c2008da7... dem-loglass          ECS          loglass-admin-api-dem-api-cluster/loglass-admin-api 1    1    261    105 
             18693a90ffce98cc... stg-loglass          ECS          demoglass-extra-testc-cluster/loglass-worker 1    1    261    105 
             186949a9d74548c6... stg-loglass          ECS          demoglass-extra-testb-cluster/loglass-admin-api 1    1    261    105 
             18694877d9e33c29... stg-loglass          ECS          demoglass-extra-testc-cluster/loglass-worker 1    1    261    105 
             186947ee610681fe... stg-loglass          ECS          demoglass-extra-testb-cluster/loglass-worker 1    1    261    105 
             18693b185ed7d743... stg-loglass          ECS          demoglass-extra-testc-cluster/loglass-admin-api 1    1    261    105 
             18693a7dc501a386... stg-loglass          ECS          loglass-admin-api-stg-api-cluster/loglass-admin-api 1    1    261    105 
             18693a8948580a80... stg-loglass          ECS          loglass-worker-stg-cluster/loglass-worker 1    1    261    105 
             18690fb2ac2d07ea...                      Host         ip-10-19-0-61.ap-northeast-1.compute.internal 0    1235 317    3   
             18690abea1fe3de4...                      Host         ip-10-21-2-186.ap-northeast-1.compute.internal 0    1235 317    3   
             186930e5d9d4708a...                      Host         ip-10-5-0-169.ap-northeast-1.compute.internal 0    1225 315    3   
             18690d67b06b69ea...                      Host         ip-10-7-1-205.ap-northeast-1.compute.internal 0    1223 314    3   
             18690fc44e4fb943...                      Host         ip-10-17-3-32.ap-northeast-1.compute.internal 0    1223 314    3   
             18690d5f26500209...                      Host         ip-10-9-1-13.ap-northeast-1.compute.internal 0    1223 314    3   
             18690d9def6f201c...                      Host         ip-10-18-3-72.ap-northeast-1.compute.internal 0    1223 314    3   
             18690f1df46e9c45...                      Host         ip-10-15-0-22.ap-northeast-1.compute.internal 0    1223 314    3   
